# Server version 0.08 running on fbrizu:8123
# Game ID: 26
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Mar 30 23:34:10 EDT 2014
# Player 1: Player-0, 'omni', running on fbrizu
# Player 2: Player-1, 'random', running on fbrizu
# Player 3: Player-2, 'random', running on fbrizu
# Player 4: Player-3, 'random', running on fbrizu
START Player-0 omni
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (13,2) (15,4)
1 null null
2 (1,12) (1,11)
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,2) (13,2)
1 (13,2) (11,0)
1 null null
2 (1,11) (2,12)
3 (13,13) (15,11)
3 (15,11) (13,13)
3 (13,13) (11,11)
3 (11,11) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 null null
0 (1,2) (2,3)
1 (14,3) (13,3)
2 (0,12) (1,11)
3 (12,14) (12,13)
0 (0,1) (1,2)
1 (11,0) (10,1)
2 (2,15) (4,15)
2 null null
3 (13,13) (13,12)
0 (1,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (13,3) (12,3)
2 (1,11) (0,12)
3 (14,12) (13,11)
0 (5,4) (6,5)
1 (13,1) (13,2)
2 (1,13) (3,13)
2 null null
3 (13,11) (14,11)
0 (0,3) (1,4)
1 (12,1) (14,3)
1 (14,3) (12,1)
1 (12,1) (14,3)
1 (14,3) (12,1)
1 null null
2 (2,13) (2,11)
2 null null
3 (15,14) (14,14)
0 (3,0) (4,1)
1 (14,0) (13,1)
2 (4,15) (4,14)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (1,4) (2,5)
1 (15,4) (15,2)
1 null null
2 (2,11) (2,10)
3 (12,12) (11,12)
0 (4,1) (5,2)
1 (13,2) (14,3)
2 (0,12) (0,11)
3 (11,14) (10,15)
0 (5,2) (6,3)
1 (14,3) (15,4)
2 (2,12) (3,12)
3 (11,12) (10,11)
0 (2,0) (4,2)
0 (4,2) (2,0)
0 (2,0) (4,2)
0 (4,2) (2,4)
0 (2,4) (4,2)
0 null null
1 (10,1) (9,0)
2 (3,15) (4,15)
3 (15,13) (14,12)
0 (4,2) (5,3)
1 (13,1) (13,2)
2 (0,14) (1,13)
3 (15,12) (13,12)
3 (13,12) (15,14)
3 null null
0 (5,3) (6,4)
1 (15,1) (13,1)
1 (13,1) (11,1)
1 null null
2 (4,14) (2,12)
2 (2,12) (4,12)
2 null null
3 (14,11) (13,12)
0 (1,0) (3,2)
0 (3,2) (1,4)
0 (1,4) (3,6)
0 null null
1 (12,1) (13,1)
2 (2,10) (1,9)
3 (12,15) (12,14)
0 (3,6) (4,7)
1 (15,2) (14,3)
2 (0,11) (1,10)
3 (10,11) (11,11)
0 (6,5) (7,6)
1 (11,1) (11,0)
2 (1,10) (2,11)
3 (12,13) (14,11)
3 (14,11) (12,13)
3 (12,13) (12,15)
3 (12,15) (12,13)
3 (12,13) (14,11)
3 null null
0 (2,1) (3,2)
1 (13,1) (14,0)
2 (4,12) (4,11)
3 (10,15) (11,14)
0 (3,2) (4,3)
1 (15,3) (15,2)
2 (0,13) (0,14)
3 (13,12) (12,12)
0 (1,1) (2,2)
1 (14,0) (15,1)
2 (3,14) (2,15)
3 (14,12) (13,12)
0 (2,2) (3,2)
1 (12,0) (10,0)
1 (10,0) (8,0)
1 (8,0) (10,0)
1 (10,0) (12,0)
1 null null
2 (4,11) (5,11)
3 (11,14) (11,13)
0 (3,2) (5,4)
0 (5,4) (7,4)
0 (7,4) (5,2)
0 (5,2) (7,4)
0 (7,4) (5,2)
0 (5,2) (7,4)
0 (7,4) (5,2)
0 (5,2) (7,4)
0 (7,4) (5,4)
0 (5,4) (7,4)
0 (7,4) (5,2)
0 (5,2) (7,4)
0 (7,4) (5,4)
0 (5,4) (7,4)
0 null null
1 (12,3) (11,2)
2 (1,13) (2,13)
3 (13,12) (14,12)
0 (7,4) (8,5)
1 (13,2) (13,3)
2 (2,14) (1,13)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (13,12)
3 (13,12) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,14)
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,14)
3 null null
0 (4,4) (5,5)
1 (11,0) (11,1)
2 (5,11) (4,11)
3 (15,15) (13,13)
3 (13,13) (11,15)
3 (11,15) (13,13)
3 (13,13) (15,15)
3 null null
0 (5,5) (6,6)
1 (11,1) (12,2)
2 (3,13) (4,14)
3 (11,13) (10,13)
0 (6,6) (7,7)
1 (13,3) (13,2)
2 (3,12) (1,10)
2 (1,10) (3,12)
2 (3,12) (1,10)
2 (1,10) (3,12)
2 null null
3 (12,12) (13,11)
